rank,method_key,filename,mAP,NDS,mATE,mASE,mAOE,mAVE,mAAE,AP_car,AP_truck,AP_trailer,AP_bus,AP_construction_vehicle,AP_bicycle,AP_motorcycle,AP_pedestrian,AP_traffic_cone,AP_barrier,total_time_s,n_samples,per_sample_s
1,OPTIMAL_BBOX/submission_scnod,submission_scnod_train_0_323_20260210_131055.json,0.244000,0.247000,0.561400,0.481000,1.548700,1.818700,0.707700,0.280900,0.213700,0.000000,0.247200,0.229900,0.087100,0.167200,0.453500,0.463500,0.297100,8858.6,323,27.43
2,PATCHWORK/submission_method_E,submission_method_E_20260206_174123.json,0.228296,0.233235,0.650600,0.434461,1.368708,1.829375,0.724070,0.225091,0.210654,0.000000,0.036912,0.322322,0.162929,0.199802,0.485912,0.354697,0.284646,,,
3,PATCHWORK/submission_method_D,submission_method_D_20260206_151748.json,0.220255,0.220402,0.735100,0.433464,1.364932,1.819066,0.728696,0.202480,0.170549,0.000000,0.028280,0.325843,0.157057,0.202373,0.476961,0.347620,0.291389,,,
4,PATCHWORK/submission_method_D,submission_method_D_20260206_174116.json,0.220255,0.220402,0.735100,0.433464,1.364932,1.819066,0.728696,0.202480,0.170549,0.000000,0.028280,0.325843,0.157057,0.202373,0.476961,0.347620,0.291389,,,
5,PATCHWORK/submission_method_A,submission_method_A_20260206_142833.json,0.220041,0.192825,0.621635,0.842249,1.207639,1.849401,0.708074,0.219953,0.143748,0.000000,0.064631,0.360149,0.152227,0.186237,0.455928,0.333045,0.284494,,,
6,PATCHWORK/submission_method_A,submission_method_A_20260206_151723.json,0.220041,0.192825,0.621635,0.842249,1.207639,1.849401,0.708074,0.219953,0.143748,0.000000,0.064631,0.360149,0.152227,0.186237,0.455928,0.333045,0.284494,,,
7,PATCHWORK/submission_method_A,submission_method_A_20260206_174050.json,0.220041,0.192825,0.621635,0.842249,1.207639,1.849401,0.708074,0.219953,0.143748,0.000000,0.064631,0.360149,0.152227,0.186237,0.455928,0.333045,0.284494,,,
8,PATCHWORK/submission_method_C,submission_method_C_20260206_142850.json,0.217806,0.179937,0.696383,0.863716,1.184659,1.831559,0.729563,0.209833,0.185603,0.000000,0.033373,0.342513,0.125646,0.206838,0.446838,0.339898,0.287519,,,
9,PATCHWORK/submission_method_C,submission_method_C_20260206_151741.json,0.217806,0.179937,0.696383,0.863716,1.184659,1.831559,0.729563,0.209833,0.185603,0.000000,0.033373,0.342513,0.125646,0.206838,0.446838,0.339898,0.287519,,,
10,PATCHWORK/submission_method_C,submission_method_C_20260206_174108.json,0.217806,0.179937,0.696383,0.863716,1.184659,1.831559,0.729563,0.209833,0.185603,0.000000,0.033373,0.342513,0.125646,0.206838,0.446838,0.339898,0.287519,,,
11,METHOD_D/submission_method_d,submission_method_d_20260209_103121.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
12,METHOD_D/submission_method_d,submission_method_d_20260209_104717.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
13,METHOD_D/submission_method_d,submission_method_d_20260209_105120.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
14,METHOD_D/submission_method_d,submission_method_d_20260209_112112.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
15,METHOD_D/submission_method_d,submission_method_d_20260209_112410.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
16,METHOD_D/submission_method_d,submission_method_d_20260209_112835.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
17,METHOD_D/submission_method_d,submission_method_d_20260209_113135.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
18,METHOD_D/submission_method_d,submission_method_d_20260209_113429.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
19,METHOD_D/submission_method_d,submission_method_d_20260209_113733.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
20,METHOD_D/submission_method_d,submission_method_d_20260209_114225.json,0.207938,0.206515,0.805828,0.437782,1.359244,1.832145,0.730931,0.172488,0.161570,0.000000,0.017466,0.267802,0.155377,0.197189,0.476961,0.347620,0.282906,,,
21,BASELINE/results_temporal,results_temporal_train_20260203_135827_submission.json,0.206226,0.205358,0.826315,0.414497,1.471195,1.745750,0.736740,0.173671,0.161309,0.000000,0.028377,0.273849,0.065925,0.193126,0.530005,0.337023,0.298974,761.4,323,2.36
22,BASELINE/results_expanded,results_expanded_train_20260130_194057_submission.json,0.205821,0.207892,0.797556,0.411298,1.416488,1.828187,0.741336,0.184492,0.171111,0.000000,0.025409,0.291730,0.103222,0.208087,0.448165,0.342945,0.283053,1001.3,323,3.10
23,BASELINE/results_expanded,results_expanded_train_20260202_103316_submission.json,0.205731,0.207746,0.798564,0.411301,1.411776,1.828156,0.741328,0.184508,0.171111,0.000000,0.025409,0.291730,0.103222,0.208087,0.448308,0.342058,0.282873,520.3,323,1.61
24,BASELINE/results_expanded,results_expanded_train_20260202_142446_submission.json,0.205731,0.207746,0.798564,0.411301,1.411776,1.828156,0.741328,0.184508,0.171111,0.000000,0.025409,0.291730,0.103222,0.208087,0.448308,0.342058,0.282873,545.1,323,1.69
25,BASELINE/results_temporal,results_temporal_train_20260203_135751_submission.json,0.205275,0.205584,0.820047,0.413622,1.373712,1.751927,0.736863,0.174337,0.162066,0.000000,0.027886,0.274622,0.073548,0.193126,0.531656,0.316662,0.298845,703.0,323,2.18
26,PATCHWORK/submission_method_B,submission_method_B_20260206_142842.json,0.203053,0.175122,0.692615,0.842851,1.175226,2.055476,0.728580,0.195142,0.131478,0.000000,0.025641,0.330914,0.151315,0.166754,0.437782,0.300982,0.290525,,,
27,PATCHWORK/submission_method_B,submission_method_B_20260206_151733.json,0.203053,0.175122,0.692615,0.842851,1.175226,2.055476,0.728580,0.195142,0.131478,0.000000,0.025641,0.330914,0.151315,0.166754,0.437782,0.300982,0.290525,,,
28,PATCHWORK/submission_method_B,submission_method_B_20260206_174100.json,0.203053,0.175122,0.692615,0.842851,1.175226,2.055476,0.728580,0.195142,0.131478,0.000000,0.025641,0.330914,0.151315,0.166754,0.437782,0.300982,0.290525,,,
